
  The input file had          169  events
 station not found VTUR 
 station not found VIRH 
 station not found VKOL 
 station not found VBOK 
 station not found VTAM 
 station not found VBUT 
 station not found VSAR 
 station not found VAVU 
 station not found VASA 
 station not found VLEB 
 station not found VPOT 
 station not found VNAR 
 station not found VANG 
 station not found VWUS 
 station not found VEBE 
 station not found VSUL 
 station not found VSAL 
 station not found OS01 
 station not found OS08 
 station not found OS05 
 station not found OS02 
 station not found VESP 
 station not found OS04 
 station not found OS07 
 station not found OS06 
 station not found OS03 
VKOL  17.62 0.75 P
VKOL  31.55 0.50 S
VLEB  18.64 0.50 P
VLEB  33.68 0.25 S
VSAR  18.45 0.50 P
# 2008  6  1  6 30 47.6 -15.443  167.738 136.4 0.0 0.0 0.0 0.4   35
VBOK  33.74 0.50 S
VIRH  18.67 0.50 P
VASA  34.66 0.50 S
VTUR  18.91 0.75 P
VTUR  34.78 0.50 S
VKOL  19.18 0.25 P
VKOL  35.40 0.50 S
VAVU  19.93 1.00 P
VAVU  35.67 0.25 S
VTAM  19.52 0.50 P
VTAM  35.61 0.50 S
VPOT  20.17 0.25 P
VNAR  36.66 0.25 S
VBUT  20.32 0.75 P
VBUT  36.80 0.50 S
VESP  21.00 0.25 P
VESP  37.69 0.25 S
VSAR  20.36 0.50 P
VSAR  36.83 0.75 S
VLEB  20.73 0.25 P
VLEB  37.77 0.50 S
VANG  22.21 0.75 P
VANG  38.46 0.50 S
OS05  22.02 0.75 P
VSUL  23.03 0.50 P
VWUS  23.76 0.75 P
OS04  22.33 0.75 P
OS01  23.15 0.50 P
# 2008  6  1  6 58 25.6 -14.921  167.223 131.6 0.0 0.0 0.0 0.2   36
VKOL  17.17 0.75 P
VSAR  17.85 1.00 P
VSAR  31.64 0.25 S
VTUR  17.77 1.00 P
VBUT  18.43 0.50 P
VBUT  32.98 0.50 S
VANG  18.81 1.00 P
VANG  33.91 0.50 S
VIRH  18.31 0.75 P
VLEB  19.00 0.75 P
VLEB  33.65 0.75 S
VAVU  20.14 0.75 P
OS01  20.46 0.50 P
OS03  22.67 0.50 P
# 2008  6  1  7  7 13.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   37
OS03  41.36 1.00 P
OS10  33.11 0.50 P
OS09  34.27 0.75 P
OS08  37.38 0.75 P
OS04  39.47 0.25 P
# 2008  6  1  7 10  4.3 -15.294  167.625 131.5 0.0 0.0 0.0 0.1   38
VIRH  17.95 0.75 P
VTUR  31.89 0.25 S
VAVU  19.08 0.50 P
VBUT  19.08 0.75 P
VBUT  34.29 0.50 S
VSAR  19.21 0.75 P
VSAR  34.57 0.50 S
VLEB  19.29 0.75 P
VPOT  20.02 0.75 P
VANG  36.19 0.25 S
VNAR  20.46 0.50 P
# 2008  6  1  7 31  3.9 -14.470  166.904  19.5 0.0 0.0 0.0 0.4   39
VSAR  12.61 0.75 P
VSAR  24.29 0.50 S
VKOL  13.57 0.75 P
VBUT  14.27 0.75 P
VBUT  27.99 0.25 S
VTUR  15.06 0.50 P
VWUS  15.95 0.25 P
VLEB  15.63 0.25 P
VTAM  30.56 0.25 P
VIRH  16.74 0.50 P
OS01  18.64 0.75 P
VBOK  19.94 0.75 P
VBOK  34.69 0.50 S
VAVU  19.44 0.50 P
OS02  20.62 0.75 P
VASA  21.75 0.75 P
OS08  22.24 0.25 P
OS04  22.77 0.75 P
OS03  22.21 0.75 P
VPOT  24.55 1.00 P
VPOT  43.02 0.25 S
OS07  25.95 0.25 P
VESP  25.03 0.75 P
VESP  45.04 0.50 S
VNAR  26.08 0.50 P
VNAR  46.64 0.25 S
OS10  28.03 0.75 P
# 2008  6  1  7 36 20.9 -14.576  167.520 130.8 0.0 0.0 0.0 0.1   40
VSAR  20.65 0.75 P
VSAR  37.11 0.75 S
VIRH  21.18 0.50 P
VIRH  38.46 0.50 S
VBUT  21.35 0.50 P
VBUT  38.55 0.25 S
VANG  21.92 0.75 P
VANG  39.13 0.25 S
VLEB  22.21 0.75 P
# 2008  6  1  7 42  4.7 -14.943  167.365 138.5 0.0 0.0 0.0 0.5   41
VKOL  18.42 0.50 P
VKOL  32.98 0.75 S
VTUR  18.69 0.75 P
VTUR  33.73 0.75 S
VSAR  19.03 0.75 P
VSAR  34.10 0.75 S
VIRH  19.30 0.50 P
VBUT  19.58 0.75 P
VBUT  34.99 0.75 S
VANG  20.13 0.75 P
VANG  36.08 0.25 S
VLEB  20.08 0.75 P
VLEB  36.48 0.50 S
VBOK  36.21 0.50 S
VAVU  20.92 0.75 P
VAVU  37.67 0.75 S
VASA  21.56 0.50 P
VSUL  24.42 0.50 P
VPOT  22.71 0.75 P
OS01  21.63 0.50 P
VNAR  23.55 0.25 P
VESP  23.08 0.25 P
OS07  23.32 0.50 P
OS03  23.78 0.75 P
# 2008  6  1  7 47  5.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   42
# 2008  6  1  7 47 35.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   43
# 2008  6  1  7 54 17.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   44
# 2008  6  1  7 57 45.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   45
# 2008  6  1  8  6 45.5 -15.431  167.697 115.5 0.0 0.0 0.0 0.2   46
VBOK  29.52 0.50 S
VTUR  16.75 1.00 P
VASA  17.12 0.75 P
VKOL  17.20 0.75 P
VKOL  30.90 0.75 S
VAVU  17.29 0.75 P
VAVU  31.77 0.25 S
VPOT  18.09 0.50 P
VNAR  17.99 0.50 P
VNAR  32.46 0.50 S
VBUT  32.01 0.25 S
VSAR  18.24 1.00 P
VSAR  32.66 0.50 S
VLEB  18.27 0.50 P
VLEB  33.24 0.50 S
VESP  18.29 0.25 P
VESP  33.58 0.25 S
VANG  18.91 0.75 P
# 2008  6  1  8 11 26.0 -15.103  167.418  83.1 0.0 0.0 0.0 0.2   47
VKOL  11.80 1.00 P
VTUR  12.17 0.75 P
VIRH  12.48 0.75 P
VSAR  12.87 0.75 P
VSAR  22.80 0.25 S
VBUT  13.00 0.75 P
VBUT  23.63 0.75 S
VTAM  12.65 0.75 P
VTAM  23.56 0.75 S
VBOK  23.88 0.75 S
VLEB  13.44 1.00 P
VLEB  24.40 0.50 S
VANG  13.70 1.00 P
VAVU  14.35 0.75 P
VAVU  25.78 0.75 S
VASA  26.23 0.75 S
VWUS  16.40 0.50 P
VSUL  16.50 0.75 P
VPOT  16.57 0.25 P
VNAR  17.40 0.50 P
VESP  17.28 0.50 P
VESP  31.69 0.25 S
# 2008  6  1  8 18 18.1 -15.273  167.436  78.9 0.0 0.0 0.0 0.1   48
VTUR  11.16 0.75 P
VKOL  11.44 0.50 P
VIRH  11.16 0.75 P
VTAM  11.83 0.75 P
VBUT  12.37 0.75 P
VSAR  12.27 1.00 P
VAVU  12.78 0.75 P
VLEB  12.91 0.75 P
VANG  13.35 0.75 P
VPOT  14.43 0.50 P
# 2008  6  1  8 22 49.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   49
# 2008  6  1  8 30 40.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   50
VBUT  24.60 0.75 P
VKOL  21.39 0.75 P
VANG  25.14 0.75 P
VSAR  23.38 0.75 P
# 2008  6  1  8 42  1.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   51
# 2008  6  1  8 46 45.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   52
# 2008  6  1  8 47 18.5 -14.384  167.339 190.7 0.0 0.0 0.0 0.2   53
VKOL  26.92 0.50 P
VKOL  48.34 0.50 S
VSAR  27.46 0.75 P
VSAR  49.34 0.50 S
VANG  28.54 0.75 P
VANG  51.37 0.25 S
VBUT  28.41 0.50 P
VBUT  50.87 0.50 S
VIRH  28.20 0.50 P
VLEB  28.71 0.50 P
VLEB  51.47 0.50 S
VTAM  28.48 0.75 P
VWUS  29.59 0.75 P
VSUL  30.77 0.25 P
VAVU  30.25 0.75 P
# 2008  6  1  8 59 22.9 -14.862  167.258 112.6 0.0 0.0 0.0 0.2   54
VSAR  16.07 0.75 P
VSAR  28.82 0.25 S
VTUR  16.07 0.75 P
VBUT  16.61 0.50 P
VBUT  30.04 0.75 S
VANG  17.03 0.75 P
VANG  30.16 0.50 S
VIRH  16.70 0.75 P
VIRH  30.06 0.25 S
VLEB  17.17 0.75 P
VLEB  31.03 0.75 S
VAVU  18.63 0.75 P
VAVU  33.76 0.75 S
VASA  19.30 0.75 P
VASA  34.14 0.50 S
VPOT  21.16 0.50 P
VESP  21.22 0.25 P
VESP  39.32 0.50 S
# 2008  6  1  9 18 53.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   55
# 2008  6  1  9 21 25.1 -14.864  167.239 132.5 0.0 0.0 0.0 0.4   56
VKOL  17.28 0.75 P
VSAR  18.17 0.75 P
VSAR  32.49 0.50 S
VBUT  18.87 1.00 P
VANG  19.14 1.00 P
VANG  35.02 0.75 S
VIRH  18.53 0.50 P
VLEB  19.48 0.75 P
VLEB  35.08 0.75 S
VTAM  19.20 0.75 P
VTAM  19.24 1.00 P
VTAM  34.10 0.50 S
VBOK  20.41 0.50 P
VBOK  35.55 0.75 S
VWUS  20.64 0.75 P
VEBE  21.43 0.25 P
VAVU  20.96 0.50 P
VAVU  37.19 0.25 S
VSUL  21.34 0.75 P
VASA  21.57 0.75 P
VASA  37.88 0.25 S
VSAL  21.89 0.75 P
OS08  22.40 0.50 P
OS01  20.91 0.75 P
OS05  21.93 0.75 P
VPOT  23.18 0.75 P
OS02  21.79 0.75 P
OS04  22.90 0.75 P
OS07  23.57 0.75 P
OS03  23.43 1.00 P
# 2008  6  1  9 33 17.5 -14.872  167.194 130.9 0.0 0.0 0.0 0.3   57
VKOL  17.33 0.75 P
VSAR  17.97 0.75 P
VSAR  32.23 0.25 S
VTUR  18.02 1.00 P
VTUR  31.73 0.25 S
VBUT  18.55 0.75 P
VBUT  33.49 0.50 S
VANG  18.99 0.75 P
VIRH  18.67 0.75 P
VIRH  33.39 0.25 S
VLEB  19.19 0.75 P
VLEB  34.05 0.75 S
VWUS  20.35 0.25 P
VBOK  35.24 0.50 S
VAVU  20.61 0.75 P
VAVU  36.91 0.75 S
VASA  37.34 0.50 S
OS01  20.60 0.75 P
OS03  23.06 0.75 P
# 2008  6  1  9 44  1.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   58
# 2008  6  1  9 49 32.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   59
# 2008  6  1  9 49 48.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   60
# 2008  6  1 10  0 33.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   61
# 2008  6  1 10  1 15.0 -14.646  167.786  85.0 0.0 0.0 0.0 0.3   62
VKOL  16.76 0.50 P
VSAR  17.68 0.75 P
VSAR  32.59 0.75 S
VBUT  19.21 0.50 P
VBUT  33.81 0.75 S
VANG  19.01 0.25 P
VLEB  35.21 0.75 S
VAVU  20.34 0.50 P
VAVU  37.08 0.75 S
VSUL  23.30 0.75 P
