 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
  9 VANGO  P   0.67  2  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VASAV  P   0.05  1  1  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VASAV  S  -0.80  1  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VAVUN  P   0.07  0  0  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VAVUN  S  -0.18  1  2  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VBUTM  P   0.13  2  0  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VBUTM  S  -0.02  0  1  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VESPI  P   0.09  2  2  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VESPI  S   0.31  2  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VIRHO  P  -0.01  1  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VLEBE  S   0.03  1  1  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VPOTO  P   0.02  0  0  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VPOTO  S  -0.04  1  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VSARA  P  -0.04  0  0  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
  9 VSARA  S   0.00  0  1  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
 10 VANGO  P   0.06  1  0    3.2    0.7   -0.9    1.3 2008-06-01-0124-17S.VNRC__100_MSEED 
 10 VSARA  P  -0.07  0  0    3.2    0.7   -0.9    1.3 2008-06-01-0124-17S.VNRC__100_MSEED 
 11 OS04   P   0.02  1  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VANGO  P   0.04  0  0   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VANGO  S   0.36  2  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VASAV  P   0.02  0  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VAVUN  P   0.05  0  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VAVUN  S  -0.17  1  3   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VBUTM  P   0.02  1  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VBUTM  S  -0.26  1  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VIRHO  P  -0.03  0  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VKOLH  P   0.05  0  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VKOLH  S  -0.25  1  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VLEBE  P   0.04  0  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VLEBE  S  -0.35  1  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VSARA  P   0.01  0  0   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VSARA  S  -0.02  1  3   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VTAMB  P   0.18  0  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VTAMB  S  -0.18  1  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VTURT  P   0.04  1  1   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 11 VWUSI  P   0.15  1  2   -7.9   -0.3   13.6    2.2 2008-06-01-0203-29S.VNRC__100_MSEED 
 12 VANGO  P  -0.58  2  1   83.5  -41.0    0.2    2.0 2008-06-01-0208-35S.VNRC__100_MSEED 
 12 VKOLH  P   0.02  0  1   83.5  -41.0    0.2    2.0 2008-06-01-0208-35S.VNRC__100_MSEED 
 12 VKOLH  S   0.21  1  3   83.5  -41.0    0.2    2.0 2008-06-01-0208-35S.VNRC__100_MSEED 
 12 VSARA  P  -0.16  0  1   83.5  -41.0    0.2    2.0 2008-06-01-0208-35S.VNRC__100_MSEED 
 14 VAVUN  P   0.03  2  2  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VAVUN  S  -0.38  2  3  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VKOLH  P  -0.19  2  2  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VKOLH  S  -0.33  2  2  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VPOTO  P  -0.06  2  1  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VSARA  S  -0.18  1  3  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 14 VTAMB  S  -0.22  2  1  -21.4   -1.1   15.7    1.5 2008-06-01-0252-09S.VNRC__100_MSEED 
 16 VAVUN  S  -0.32  2  2   12.9   -7.0   -3.3    2.0 2008-06-01-0319-30S.VNRC__100_MSEED 
 16 VKOLH  S  -0.13  1  3   12.9   -7.0   -3.3    2.0 2008-06-01-0319-30S.VNRC__100_MSEED 
 16 VLEBE  S  -0.32  1  2   12.9   -7.0   -3.3    2.0 2008-06-01-0319-30S.VNRC__100_MSEED 
 16 VSARA  P  -0.03  1  1   12.9   -7.0   -3.3    2.0 2008-06-01-0319-30S.VNRC__100_MSEED 
